""	13
"coadapted"	1
"coal-measures"	1
"coarse"	1
"coarse-haired"	1
"coarser"	3
"coast"	11
"coast-action"	3
"coast-waves"	1
"coasts"	2
"coat"	2
"coated"	3
"cobites"	2
"cobra"	1
"cobs"	1
"cocci"	1
"coccidae"	2
"coccus"	2
"coccus.--the"	1
"cochineal"	1
"cock"	1
"cock-nests"	1
"cockfighter"	1
"cockles"	1
"cockroach"	2
"cocks"	1
"cocoon"	3
"cocoon--or"	1
"cocoon-stage"	1
"cocoon.--a"	1
"cocoons"	1
"codes"	1
"codlin-apple"	1
"coelospermous"	2
"coelospermous.--a"	1
"coerulea"	1
"coexist"	2
"cohere"	3
"cohering"	1
"coincide"	1
"coincidence"	3
"coincident"	1
"col"	3
"colaptes"	3
"colchicus"	1
"cold"	27
"colder"	6
"coldest"	2
"colds"	1
"coleoptera"	1
"coleoptera.--beetles"	1
"coleopterous"	2
"collar-bones"	1
"collateral"	4
"collect"	7
"collected"	24
"collecting"	7
"collection"	11
"collections"	6
"collections--on"	2
"collins"	1
"colonel"	7
"colonies"	3
"colonisation"	3
"colonise"	1
"colonised"	3
"colonists"	11
"colour"	63
"coloured"	37
"colouring"	8
"colourless"	1
"colours"	18
"colts"	1
"columba"	3
"columbidae"	2
"column"	3
"column.--a"	1
"columnae"	1
"colymbetes"	2
"comb"	20
"combat"	3
"combination"	2
"combinations"	2
"combine"	1
"combined"	9
"combines"	1
"combining"	1
"combs"	4
"combustible"	1
"come"	98
"comes"	26
"coming"	9
"command"	1
"commanded"	1
"commence"	2
"commenced"	4
"commencement"	24
"commences"	1
"commenting"	2
"commerce"	1
"commercial"	1
"commingle"	1
"commingled"	1
"commingling"	1
"committed"	2
"common"	256
"commoner"	5
"commonest"	3
"commonly"	32
"commonness"	2
"communicate"	1
"communicated"	5
"communication"	2
"communities"	6
"community"	33
"comorin"	1
"compact"	1
"companion"	1
"comparable"	3
"comparably"	1
"comparative"	3
"comparatively"	12
"compare"	32
"compare--but"	1
"compared"	48
"compares"	2
"comparing"	8
"comparison"	38
"compass"	1
"compatible"	3
"compatriot"	1
"compatriots"	2
"compelled"	13
"compels"	1
"compensate"	1
"compensation"	10
"compete"	10
"competed"	1
"competent"	11
"competing"	4
"competition"	46
"competition--and"	1
"competitor"	3
"competitors"	12
"compilation"	1
"complained"	1
"complemental"	1
"complete"	21
"completed"	9
"completely"	30
"completeness"	1
"complex"	79
"complexity"	6
"compliance"	5
"complicated"	7
"complication"	1
"comply"	6
"complying"	3
"compose"	1
"composed"	17
"compositae"	7
"composite"	1
"composition"	6
"compositous"	2
"compound"	5
"compounded"	8
"comprehend"	3
"comprehended"	1
"comprehension"	2
"compressed"	2
"compsognathus"	1
"compulsion"	1
"compulsory"	4
"computer"	2
"computers"	2
"comrades"	1
"concave"	1
"conceal"	3
"concealed"	3
"concealment"	1
"conceit"	1
"conceivable"	10
"conceive"	5
"conceived"	2
"conceiving"	1
"concentrate"	1
"concentrated"	1
"concentrating"	1
"concentration"	2
"concept"	2
"conception"	3
"concern"	1
"concerned"	15
"concerning"	2
"concerns"	6
"conchologists"	3
"conclude"	35
"concluded"	4
"concludes"	6
"concluding"	6
"conclusion"	51
"conclusions"	18
"conclusive"	2
"conclusively"	1
"concourse"	1
"concur"	6
"concurred"	4
"concurrence"	1
"concurrent"	2
"condensed"	2
"condescended"	1
"condition"	81
"conditions"	307
"conditions--for"	1
"conditions--importance"	2
"conditions--in"	1
"conditions--use"	2
"condor"	2
"conduisent"	1
"cone"	1
"cones"	2
"conferva"	2
"confervae.--the"	1
"confess"	2
"confessed"	3
"confessedly"	1
"confidence"	7
"confidently"	5
"confine"	7
"confined"	44
"confinement"	18
"confines"	8
"confirm"	4
"confirmation"	4
"confirmed"	3
"confluent"	1
"conformable"	2
"conformably"	2
"conformity"	2
"confounded"	6
"confusion"	3
"congener"	1
"congeners"	2
"conglomerate"	1
"conglomerate.--a"	1
"conglomerates"	1
"congregate"	1
"conical"	1
"conjectural"	2
"conjecture"	10
"conjoined"	3
"conjointly"	2
"conjugate"	1
"connaraceae"	1
"connarus"	1
"connect"	12
"connected"	49
"connecting"	17
"connection"	4
"connects"	5
"connexion"	6
"connexion--with"	1
"connoisseur"	1
"conquer"	2
"conquered"	4
"conquering"	1
"conqueror"	1
"conscientious"	1
"conscientiously"	1
"conscious"	3
"consecutive"	19
"consequence"	10
"consequences"	2
"consequent"	6
"consequential"	1
"consequently"	80
"consider"	29
"considerable"	40
"considerably"	14
"consideration"	18
"considerations"	23
"considered"	59
"considering"	32
"considers"	7
"consist"	7
"consisted"	4
"consistent"	1
"consisting"	4
"consists"	12
"consolatory"	1
"console"	1
"consolidated"	2
"consolidation"	4
"conspicuous"	7
"conspicuously"	3
"constancy"	2
"constant"	29
"constant--supposed"	2
"constantly"	14
"constellations"	1
"constitute"	10
"constituted"	2
"constitutes"	1
"constitution"	36
"constitutional"	8
"constitutions"	7
"construct"	1
"constructed"	26
"construction"	17
"consultation"	1
"consulted"	1
"consulting"	1
"consumed"	4
"consumption"	1
"contact"	8
"contain"	5
"contained"	2
"containing"	8
"contains"	1
"contemplate"	2
"contemporaneous"	4
"contending"	1
"contents"	2
"contest"	3
"continent"	62
"continent--centres"	2
"continent--of"	1
"continent--the"	1
"continental"	11
"continents"	36
"contingencies"	10
"contingencies--on"	1
"contingency"	4
"contingent"	3
"continual"	2
"continually"	28
"continue"	8
"continued"	33
"continues"	3
"continuing"	2
"continuity"	3
"continuous"	38
"continuously"	10
"contract"	1
"contracted"	2
"contraction"	3
"contradictions"	1
"contradistinction"	2
"contrary"	6
"contrast"	8
"contrasted"	1
"contributions"	2
"contrivance"	9
"contrivances"	9
"controlled"	1
"controversial"	1
"convalescence"	1
"convenience"	7
"convenient"	3
"conveniently"	1
"converge"	3
"convergence"	5
"converging"	2
"converse"	1
"conversed"	1
"conversely"	8
"conversion"	3
"convert"	3
"converted"	36
"convex"	4
"convey"	1
"conviction"	8
"convince"	4
"convinced"	25
"coo"	1
"cooler"	3
"coot"	2
"coots"	1
"cope"	3
"copied"	2
"copies"	7
"coping"	2
"copious"	2
"copy"	11
"copying"	4
"copyright"	13
"coral"	3
"coral-islands"	1
"coral-producing"	1
"coralline"	1
"corallines"	1
"corals"	1
"cord.--the"	1
"cordillera"	7
"corn"	3
"corn-crake"	1
"corncrakes"	1
"cornea"	2
"corner"	4
"corners"	3
"corolla"	8
"corolla.--the"	1
"corollary"	1
"corollas"	1
"corporation"	1
"corporeal"	7
"correct"	11
"correction"	3
"corrections"	1
"correctly"	2
"correctness"	1
"correlate"	1
"correlated"	29
"correlation"	19
"correlation.--the"	1
"correlations"	2
"correlations--multiple"	2
"correspond"	4
"correspondence"	3
"corresponding"	48
"correspondingly"	1
"corresponds"	1
"corroborate"	1
"corrupt"	1
"coryanthes"	4
"corydalis"	2
"corymb.--a"	1
"cosmogonists"	1
"cost"	2
"costs"	2
"cotton-planter"	1
"cotton-trees"	1
"cotyledon"	1
"cotyledons"	2
"cotyledons.--the"	1
"coughs"	1
"could"	270
"count"	2
"counted"	2
"countenance"	1
"countenances"	1
"counterbalance"	2
"counterfeiters"	1
"counting"	2
"countless"	7
"countries"	51
"country"	134
"county"	1
"couple"	1
"courage"	3
"courageous"	2
"course"	74
"courses"	2
"court"	1
"courtly"	1
"cousins"	1
"cover"	1
"covered"	19
"covering"	5
"coverings"	1
"covers"	1
"cow"	3
"cows"	4
"coypu"	1
"crab"	2
"crab--in"	1
"crabs"	3
"crack"	1
"cracked"	1
"crackers"	1
"cracks"	1
"craft"	1
"cranes"	1
"craven"	1
"crawl"	6
"crawled"	4
"crawling"	2
"crawls"	1
"cream"	1
"create"	1
"created"	56
"created--is"	1
"creating"	4
"creation"	58
"creation--means"	2
"creations"	6
"creative"	5
"creator"	9
"creature"	11
"creatures"	4
"credible"	2
"credit"	1
"creeper"	1
"creeping"	1
"crept"	1
"cretacean"	1
"crevices"	1
"criblatores"	1
"crinum"	3
"cristatus"	1
"criterion"	5
"criterions"	1
"critic"	1
"critical"	1
"critics"	1
"crocodile"	1
"croll"	10
"croll's"	2
"crooked"	1
"crop"	11
"crops"	6
"cross"	56
"cross-bred"	2
"crossed"	114
"crossed--a"	1
"crossed--and"	1
"crosses"	72
"crossing"	51
"crossing--dimorphism"	2
"crow"	1
"crowd"	2
"crowded"	1
"crowds"	1
"crown"	1
"crowned"	3
"crude"	1
"cruger"	5
"crushing"	1
"crust"	10
"crustacea"	12
"crustacean"	5
"crustaceans"	46
"crustaceans.--a"	1
"cryptocerus"	2
"crystal"	1
"crystalline"	3
"crystallisation"	1
"crystallised"	2
"crystals"	1
"ctenomys"	2
"cub"	1
"cuckoo"	38
"cuckoos"	2
"cud"	1
"culinary"	2
"cultivate"	1
"cultivated"	21
"cultivating"	2
"cultivation"	6
"cultivator"	1
"cultivators"	1
"culture"	4
"cumulative"	1
"cunningham"	2
"cup"	1
"curculio"	1
"curculio.--the"	1
"cured"	1
"curious"	38
"curiously"	5
"curled"	2
"curling"	1
"curls"	1
"currant"	2
"currants"	1
"current"	1
"currents"	14
"curvature"	5
"curved"	6
"custom"	1
"cut"	6
"cut-away"	1
"cutaneous"	4
"cutaneous.--of"	1
"cuts"	2
"cutting"	8
"cuttings"	1
"cuttle-fish"	8
"cuvier"	8
"cycle"	1
"cycles"	1
"cyclops"	1
"cyclostoma"	2
"cygnoides"	1
"cylinders"	1
"cylindrical"	3
"cynthia"	1
"cypridina"	2
"cypripedium"	1
"cypris"	1
"cytherea"	1
"d"	3
"d'archiac"	1
"d'etre"	1
"d'eux"	1
"d'halloy"	1
"d'omalius"	1
"d'orbigny"	1
"dahlia"	3
"daily"	3
"daisy"	2
"dallas"	2
"dalton"	1
"dalton's"	1
"dam"	1
"damage"	2
"damaged"	2
"damages"	4
"damp"	5
"damper"	1
"dampest"	1
"dampness"	1
"dams"	1
"dana"	3
"dana's"	1
"dandelion"	3
"danger"	6
"dangers"	1
"dangling"	1
"dans"	3
"dare"	2
"dares"	1
"dark"	9
"dark-coloured"	2
"darkened"	1
"darker"	3
"darkest"	1
"darkness"	5
"darwin"	4
"darwin's"	1
"dashing"	1
"data"	3
"date"	4
"daughters"	2
"dawn"	4
"dawson"	5
"day"	49
"day's"	1
"day--on"	2
"days"	31
"de"	48
"dead"	10
"deaf"	2
"deafness"	1
"dean"	4
"dearth"	3
"dearths"	3
"death"	14
"death--to"	1
"decay"	3
"decayed"	3
"deceitful"	1
"deceive"	3
"deceived"	4
"december"	1
"deception"	1
"deceptive"	1
"decide"	12
"decided"	7
"decidedly"	1
"deciding"	2
"deciduous"	2
"decision"	1
"decisive"	4
"decked"	1
"declare"	1
"declared"	2
"declares"	4
"decline"	1
"declined"	1
"decorticated"	1
"decrease"	13
"decreased"	2
"decreases"	2
"decreasing"	6
"deduce"	1
"deduced"	1
"deductible"	1
"deduction"	1
"deductions"	1
"deed"	1
"deemed"	1
"deep"	9
"deepen"	2
"deepened"	2
"deepening"	1
"deeper"	5
"deepest"	2
"deeply"	6
"deeply-furrowed"	1
"deeply-seated"	1
"deer"	6
"defect"	3
"defective"	3
"defects"	1
"defence"	14
"defend"	4
"deference"	1
"deficiency"	2
"deficient"	8
"definable"	1
"define"	7
"defined"	15
"defines"	2
"defining"	2
"definite"	37
"definitely"	1
"definition"	8
"definitions"	4
"degenerate"	1
"degenerating"	1
"degenerations"	1
"degradation"	13
"degradation.--the"	1
"degrade"	1
"degraded"	8
"degree"	217
"degrees"	42
"dei"	1
"deity"	2
"deja"	1
"del"	7
"deletions"	1
"deliberate"	1
"deliberation"	2
"delicate"	9
"delicately"	2
"delight"	5
"delivered"	2
"demand"	2
"demarcation"	2
"demerits"	1
"demonstrably"	1
"demonstrated"	1
"demonstration"	2
"demonstrative"	1
"demontre"	1
"demontrent"	1
"denied"	6
"denomination"	1
"denominations"	1
"dense"	3
"densest"	1
"densities"	1
"density"	2
"dentition"	2
"denudation"	19
"denudation.--the"	1
"denuded"	7
"deny"	10
"denying"	1
"depart"	2
"departing"	3
"departments"	2
"departs"	2
"depend"	21
"depended"	2
"dependence"	2
"dependency"	1
"dependent"	9
"depending"	3
"depends"	39
"depopulated"	1
"deposit"	9
"deposited"	23
"deposition"	11
"deposition--on"	1
"deposits"	22
"depress"	2
"depressions"	1
"deprived"	1
"depth"	16
"depths"	8
"der"	1
"deride"	1
"derivation"	1
"derivative"	4
"derive"	1
"derived"	28
"deriving"	1
"dermal"	2
"des"	7
"descend"	3
"descendant"	3
"descendants"	112
"descendants--which"	1
"descended"	102
"descending"	2
"descends"	2
"descent"	86
"descent--the"	2
"describe"	1
"described"	30
"describes"	3
"describing"	3
"description"	4
"descriptions"	1
"desert"	4
"desertas"	1
"deserts"	6
"deserve"	8
"deserved"	1
"deserves"	10
"design"	1
"designated"	2
"designation"	1
"desire"	2
"desired"	5
"desolate"	1
"desolated"	2
"despair"	1
"despite"	1
"destined"	1
"destinee"	1
"destitute"	12
"destroy"	12
"destroyed"	36
"destroying"	5
"destroys"	1
"destruction"	36
"destructive"	4
"detach"	1
"detail"	14
"detailed"	1
"details"	14
"details--the"	1
"detected"	12
"detection"	1
"deteriorated"	1
"deterioration"	1
"determination"	1
"determine"	27
"determined"	17
"determines"	3
"determining"	12
"detriment"	1
"detritus"	2
"deux"	1
"developed"	147
"developed--yet"	1
"developing"	1
"development"	116
"development--characters"	2
"development--it"	1
"development--will"	1
"developmental"	2
"devenus"	1
"deviate"	2
"deviated"	1
"deviation"	9
"deviations"	17
"devonian"	4
"devonshire"	2
"devote"	2
"devoted"	2
"devotes"	1
"devour"	2
"devoured"	8
"devouring"	2
"dew"	1
"diagonally"	1
"diagram"	40
"dialect"	2
"dialects"	2
"diameter"	4
"diametrically"	2
"dianthus"	3
"diaphragm"	1
"diatomaceae"	1
"dichogamous"	2
"dicotyledonous"	2
"dicotyledons"	3
"did"	53
"die"	3
"die--which"	1
"died"	3
"diem"	2
"dies"	2
"differ"	121
"differed"	17
"difference"	103
"difference--for"	1
"differences"	174
"differences--doubtful"	2
"differences--that"	1
"different"	364
"differentation.--the"	1
"differentiated"	6
"differentiation"	6
"differently"	16
"differing"	16
"differs"	17
"difficult"	52
"difficult--at"	1
"difficulties"	38
"difficulty"	117
"difficulty--natura"	2
"diffused"	16
"diffusion"	7
"digest"	2
"digestive"	1
"digests"	1
"digging"	2
"digit"	2
"digits"	1
"dignified"	1
"digress"	1
"digression"	1
"diligent"	1
"diluvial"	1
"dim"	1
"dimensions"	1
"diminish"	2
"diminished"	12
"diminishes"	1
"diminishing"	1
"diminution"	2
"dimly"	6
"dimorphic"	17
"dimorphic.--having"	1
"dimorphism"	5
"dinosaurians"	1
"dinosaurians--that"	1
"dioecious.--having"	1
"dioeciously"	1
"dioptric"	1
"diorite"	1
"diorite.--a"	1
"dipsacus"	1
"direct"	36
"directed"	1
"directement"	1
"direction"	23
"directions"	6
"directly"	31
"director"	1
"dirt"	6
"disadvantage"	3
"disadvantages"	1
"disappear"	17
"disappearance"	11
"disappeared"	11
"disappeared--but"	1
"disappearing"	3
"disappears"	6
"disappointed"	1
"disbelieve"	4
"disbeliever"	1
"disbelieves"	1
"disbelieving"	4
"discern"	1
"discharge"	3
"disclaim"	1
"disclaimer"	3
"disclaimers"	1
"discommunity"	1
"discontinue"	1
"discontinuity"	1
"discontinuous"	1
"discover"	10
"discovered"	36
"discovered--throw"	1
"discoveries"	4
"discovering"	3
"discovery"	15
"discriminated"	1
"discrimination"	2
"discs"	1
"discuss"	18
"discussed"	28
"discussed--namely"	1
"discussing"	4
"discussion"	6
"discussions"	1
"disease"	5
"diseases"	4
"disentangle"	1
"disentombed"	1
"disgorge"	1
"disintegrated"	2
"disinterred"	1
"disk"	1
"dislike"	1
"dislikes"	1
"dislocations"	1
"dispassionate"	1
"dispersal"	23
"dispersed"	3
"displaced"	1
"displacement"	2
"displacing"	1
"display"	7
"displayed"	14
"displaying"	6
"displeasure"	1
"disposed"	1
"disposition"	6
"dispositions"	1
"disproportionally"	1
"dispute"	7
"disputed"	11
"disputed--then"	1
"disputes"	3
"disregard"	1
"disregarded"	2
"dissected"	3
"dissection"	1
"disseminate"	1
"disseminated"	6
"dissemination"	3
"disservice"	2
"dissimilar"	12
"dissimilarity"	9
"dissimilarly"	1
"dissimulation"	1
"dissolved"	4
"dissolves"	1
"distance"	29
"distances"	9
"distances--this"	2
"distant"	66
"distantly"	3
"distasteful"	1
"distinct"	359
"distincter"	1
"distinction"	23
"distinctions"	1
"distinctive"	2
"distinctly"	5
"distinctness"	3
"distinguish"	12
"distinguishable"	2
"distinguished"	15
"distinguishes"	1
"distinguishing"	10
"distorted"	1
"distortion"	1
"distribute"	6
"distributed"	9
"distributing"	7
"distribution"	82
"distribution--continued"	2
"distribution--such"	1
"distributor"	1
"district"	29
"districts"	22
"disturb"	1
"disturbance"	1
"disturbed"	14
"disuse"	53
"dive"	1
"diverge"	3
"diverged"	12
"divergence"	30
"divergent"	16
"diverging"	12
"diverse"	10
"diversification"	8
"diversified"	34
"diversities"	3
"diversity"	24
"dives"	3
"divided"	18
"dividing"	1
"divine"	2
"diving"	7
"diving,--using"	1
"divinity"	1
"divisible"	1
"division"	27
"divisions"	15
"divisions--namely"	1
"do"	282
"dock-plant"	1
"docks"	1
"doctrine"	24
"doctrines"	1
"does"	96
"dog"	24
"dog-family"	1
"dog-genus"	1
"dogmatize"	1
"dogs"	30
"doing"	4
"doit"	1
"doive"	1
"dolphins"	1
"domain"	9
"domestic"	152
"domestica"	3
"domesticated"	40
"domesticating"	1
"domestication"	52
"domestication--differed"	1
"domestication--laws"	2
"domestication--these"	1
"domestiques"	2
"dominant"	44
"dominating"	1
"donate"	3
"donation"	1
"donations"	15
"donc"	2
"done"	24
"donkey"	1
"donkeys"	1
"donors"	1
"dont"	2
"doomed"	1
"door"	1
"doors"	2
"dorking"	1
"dorsal.--of"	1
"dose"	1
"dotted"	6
"double"	22
"doubled"	1
"doubling"	1
"doubt"	108
"doubted"	17
"doubtful"	37
"doubtfully"	3
"doubting"	2
"doubts"	10
"dovecot-pigeon"	1
"down"	41
"downing"	2
"downloading"	1
"downthrow"	1
"downward"	4
"downwards"	2
"downy"	1
"dozen"	10
"dr"	104
"dragon-flies"	1
"dragon-fly"	1
"dragons"	1
"drags"	2
"drainage"	1
"drama"	1
"draught"	1
"draw"	3
"drawing"	5
"drawings"	6
"drawn"	11
"draws"	2
"dray"	1
"dray-horse"	3
"dreamed"	1
"dreams"	1
"dredge"	1
"dress"	5
"drew"	2
"dried"	9
"drier"	1
"drift"	3
"drift-timber"	1
"drifted"	4
"drink"	1
"drive"	1
"driven"	7
"driver"	2
"driver-ant"	1
"driving"	1
"dromedary"	1
"drones"	3
"drooping"	3
"drop"	7
"dropped"	2
"drops"	2
"drought"	2
"droughts"	1
"dry"	15
"dryness"	1
"du"	2
"dublin"	1
"duck"	26
"duck's"	1
"duck--and"	1
"duck-family"	1
"duck-weed"	2
"ducks"	6
"ducks--and"	1
"duckweed"	1
"ductile"	1
"ductus"	1
"due"	70
"dug"	2
"dugong"	5
"dugongs"	1
"dull"	3
"dun"	8
"dung"	1
"dung-beetles"	1
"dung-feeding"	2
"duns"	3
"duration"	23
"duree"	1
"during"	279
"dusky"	1
"dust"	6
"dusted"	1
"dutch"	2
"dwarf"	1
"dwarfed"	4
"dwarfs"	1
"dyak"	1
"dynasty"	2
"dyticus"	2
"e"	12
"e-mail"	1
"e.v"	2
"e14"	1
"each"	650
"eager"	4
"eagerly"	3
"eagle's"	1
"ear"	3
"earl"	2
"earless"	1
"earlier"	38
"earliest"	11
"early"	94
"ears"	8
"earth"	50
"earth's"	8
"earth-worm"	1
"earth-worms"	2
"ease"	5
"easier"	2
"easily"	39
"eastern"	13
"easy"	12
"eat"	4
"eaten"	1
"eating"	3
"ebook"	5
"ebooks"	7
"eccentricity"	2
"echinoderm"	1
"echinodermata"	5
"echinoneus"	1
"echinus"	3
"eciton"	2
"eclipse"	1
"economical"	1
"economise"	2
"economising"	2
"economy"	27
"edentata"	6
"edentata.--a"	1
"edge"	5
"edged"	3
"edges"	9
"edging"	1
"edinburgh"	1
"edition"	14
"editions"	9
"editor"	2
"educated"	1
"educational"	1
"edward"	4
"edwards"	8
"effect"	41
"effected"	51
"effected--and"	1
"effecting"	5
"effective"	5
"effectively"	1
"effects"	74
"effects--methodical"	2
"effectual"	1
"effectually"	9
"efficacy"	1
"efficiency"	3
"efficient"	10
"efficiently"	7
"effort"	3
"efforts"	8
"egg"	20
"egg-like"	1
"egg-shell"	3
"eggs"	86
"eggs--from"	1
"egypt"	6
"egyptian"	4
"egyptians"	1
"eight"	16
"eighteen"	6
"eighty-five"	1
"eighty-seven"	1
"eighty-six"	1
"eighty-three"	1
"eighty-two"	1
"ein"	1
"either"	122
"eject"	1
"ejected"	1
"ejecting"	3
"ejection"	2
"elaborate"	2
"elaborately"	2
"elaboration"	1
"elapsed"	11
"elastic"	3
"elasticity"	1
"elder"	5
"elect"	2
"elective"	1
"electric"	16
"electrical"	4
"electricity"	2
"electronic"	27
"electronically"	2
"elegans"	1
"elegant"	4
"element"	33
"elemental"	4
"elements"	18
"elements?--and"	1
"elephant"	12
"elephant--and"	1
"elephants"	3
"elevation"	11
"elevatory"	1
"eleven"	7
"elie"	1
"eliminate"	4
"eliminated"	2
"eliminates"	1
"eliminating"	2
"elimination"	2
"elliot"	1
"ellipse"	1
"elliptic"	1
"elongated"	14
"else"	6
"elsewhere"	20
"elucidated"	1
"elytra"	1
"elytra.--the"	1
"email"	3
"embalmed"	1
"embarrassed"	1
"embed"	3
"embedded"	21
"embraced"	5
"embraces"	1
"embryo"	44
"embryo--on"	1
"embryo.--the"	1
"embryological"	16
"embryology"	10
"embryology--namely"	1
"embryology.--the"	1
"embryonic"	23
"embryos"	23
"emerge"	4
"emerges"	1
"emigrants"	1
"emigrate"	1
"eminence"	1
"eminent"	15
"eminently"	21
"emises"	1
"emission"	1
"emphatic"	1
"emphatically"	2
"empirical"	1
"employed"	2
"employee"	1
"employees"	2
"employing"	1
"emu"	1
"en"	3
"enable"	1
"enabled"	35
"enables"	1
"enabling"	1
"enamel"	1
"enamelled"	1
"enclosed"	14
"enclosure"	2
"encore"	1
"encounter"	3
"encountered"	4
"encroach"	1
"encumbered"	1
"encyclopaedia"	1
"encyclopaedias"	1
"end"	35
"endeavour"	3
"endeavoured"	10
"endeavouring"	3
"endemic"	19
"endemic,--that"	1
"endemic.--peculiar"	1
"endless"	14
"endogenous"	1
"endowed"	13
"endowing"	1
"endowment"	7
"endowments"	1
"ends"	5
"endurance"	6
"endure"	20
"endured"	8
"endures"	1
"enduring"	6
"enemies"	22
"enemy"	3
"energetic"	1
"energetically"	1
"engidae"	2
"england"	24
"english"	17
"engrained"	1
"enjoy"	1
"enlarge"	4
"enlarged"	9
"enlarging"	1
"ennobled"	1
"enormous"	26
"enormously"	12
"enough"	21
"enquire"	2
"enquiry"	1
"ensue"	3
"ensued"	1
"ensued--namely"	1
"ensues"	2
"ensure"	5
"ensured"	1
"ensuring"	1
"entail"	2
"entailing"	6
"entails"	1
"entangled"	2
"enter"	25
"entered"	5
"entering"	6
"enters"	2
"entertain"	1
"entertained"	3
"entertained--namely"	1
"entertains"	1
"enthusiasm"	1
"enthusiastic"	1
"entierement"	1
"entire"	10
"entirely"	16
"entitled"	1
"entity"	3
"entombed"	1
"entomologist"	2
"entomologists"	3
"entomostraca"	1
"entomostraca.--a"	1
"entrance"	2
"entrances"	1
"entre"	1
"entry"	1
"entwickelungs-gesetze"	1
"enumerate"	1
"enumerated"	5
"enunciated"	1
"enunciating"	2
"enunciation"	2
"envelope"	5
"enveloped"	3
"enveloping"	1
"eocene"	8
"eocene.--the"	1
"eozoon"	5
"ephemerous"	2
"epidemics"	2
"epidemics--at"	1
"epidermic"	1
"epilipsy"	1
"epoch"	26
"epochs"	4
"epoques"	1
"equable"	2
"equal"	38
"equalled"	1
"equally"	33
"equals"	1
"equator"	12
"equatorial"	10
"equi-distant"	1
"equilibrium"	2
"equine"	1
"equipment"	3
"equivalent"	1
"erasmus"	1
"erect"	3
"err"	4
"erratic"	4
"erroneous"	5
"erroneously"	3
"error"	12
"errors"	2
"escape"	16
"escaped"	1
"escaping"	4
"escarpment"	2
"escarpments"	1
"eschwege"	1
"esculent"	2
"espece"	1
"especes"	1
"especial"	7
"especially"	57
"esquimaux"	1
"essay"	5
"essays"	3
"essence"	3
"essential"	13
"essentially"	12
"est"	1
"established"	7
"establishing"	1
"establishment"	2
"estate"	2
"estimate"	4
"estimated"	5
"estimates"	3
"estimating"	1
"et"	7
"etc"	83
"etc.(ibid"	1
"etc.--as"	1
"etc.--so"	1
"eternity"	1
"etext"	1
"etre"	1
"etres"	1
"etudes"	1
"europaeo-asiatic"	1
"europe"	84
"europe--a"	1
"european"	36
"europeans"	1
"even"	278
"even-toed"	1
"evening"	2
"event"	5
"events"	5
"ever"	73
"ever--i"	1
"ever-acting"	1
"ever-branching"	1
"ever-increasing"	2
"evergreen"	2
"everlasting"	1
"every"	152
"everyone"	4
"everything"	1
"everywhere"	14
"evidence"	75
"evident"	4
"evidently"	6
"evil"	1
"evolution"	8
"evolutionists"	2
"evolve"	1
"evolved"	6
"exact"	6
"exactly"	29
"exaggerated"	6
"exaggeration"	2
"exaggerations"	1
"exalted"	1
"examination"	4
"examine"	7
"examined"	16
"examining"	7
"example"	13
"examples"	17
"excavate"	5
"excavated"	4
"excavating"	1
"excavation"	3
"excavations"	1
"exceed"	3
"exceeded"	1
"exceeding"	2
"exceedingly"	2
"exceeds"	1
"excellent"	25
"excellently"	2
"except"	24
"excepting"	18
"exception"	20
"exceptional"	6
"exceptionally"	1
"exceptions"	16
"excess"	9
"excessive"	1
"excessively"	9
"exchanges"	1
"excite"	1
"excited"	8
"excited--and"	1
"excites"	1
"exciting"	2
"exclaim"	1
"exclude"	1
"excluded"	3
"excluding"	6
"exclusion"	4
"exclusive"	7
"exclusively"	27
"excrement"	6
"excrescences"	1
"excrete"	5
"excreted"	5
"excretes"	1
"excreting"	1
"excretion"	3
"excretions"	1
"excused"	2
"executive"	1
"exemplified"	3
"exemplify"	1
"exemplifying"	1
"exempt"	2
"exercise"	4
"exercised"	2
"exercises"	1
"exercising"	1
"exert"	1
"exerted"	1
"exerts"	1
"exhibit"	3
"exhibited"	3
"exhibiting"	3
"exhibits"	3
"exist"	56
"exist--we"	1
"existed"	76
"existence"	92
"existence--are"	1
"existence--do"	1
"existing"	97
"exists"	10
"exogenous"	1
"exotic"	4
"expand"	1
"expanded"	5
"expanding"	2
"expands"	1
"expanse"	2
"expect"	30
"expectation"	1
"expected"	25
"expeditions"	1
"expend"	1
"expenditure"	2
"expense"	3
"expenses"	2
"experience"	15
"experience--does"	1
"experienced"	11
"experiences"	2
"experiment"	11
"experimentalist"	1
"experimentalists"	2
"experimentally"	2
"experimented"	9
"experiments"	22
"explain"	34
"explained"	52
"explained--summary"	2
"explaining"	3
"explains"	12
"explanation"	44
"explanations"	2
"explicable"	6
"explicit"	1
"explored"	4
"exportation"	1
"exported"	1
"exporting"	1
"exposed"	52
"exposes"	3
"exposure"	3
"express"	4
"expressed"	15
"expresses"	8
"expressing"	3
"expression"	13
"expressions"	4
"expressly"	5
"exquisite"	2
"exquisitely"	3
"extend"	16
"extended"	17
"extended--effects"	2
"extending"	4
"extends"	10
"extension"	6
"extensions"	2
"extensive"	15
"extensively"	1
"extensor"	1
"extent"	63
"exterior"	3
"exterminate"	11
"exterminated"	26
"exterminating"	2
"extermination"	20
"external"	42
"externally"	6
"extinct"	125
"extinct--its"	1
"extinct--to"	1
"extinction"	68
"extinction--on"	2
"extracted"	2
"extracts"	2
